,first_output_size,second_output_size,final_hidden_size,batch_size,epoch_num,train_accuracy,accuracy_except_0_and_1000,first_number_accuracy,second_number_accuracy
0,64,8,128,32,10,46.02,54.14,8.32,45.82
0,64,8,128,32,15,47.83,55.08,8.61,46.47
0,64,8,128,32,20,49.69,55.67,8.26,47.41
0,64,8,128,32,25,51.96,55.9,8.32,47.58
0,64,8,128,32,30,54.42,55.56,8.29,47.27
0,64,8,128,64,10,47.76,55.3,8.31,46.99
0,64,8,128,64,15,50.92,55.85,8.19,47.67
0,64,8,128,64,20,54.76,55.87,8.44,47.43
0,64,8,128,64,25,58.74,56.16,8.16,48.0
0,64,8,128,64,30,62.15,55.46,7.91,47.55
0,64,8,128,128,10,45.72,53.72,8.33,45.39
0,64,8,128,128,15,47.96,55.4,8.75,46.65
0,64,8,128,128,20,51.12,55.92,8.81,47.11
0,64,8,128,128,25,55.63,56.09,8.52,47.57
0,64,8,128,128,30,60.11,55.66,8.47,47.19
0,64,8,256,32,10,36.64,46.58,10.31,36.26
0,64,8,256,32,15,36.97,47.04,10.56,36.48
0,64,8,256,32,20,37.11,46.8,10.28,36.52
0,64,8,256,32,25,37.18,47.5,10.63,36.88
0,64,8,256,32,30,43.68,52.82,9.35,43.47
0,64,8,256,64,10,37.43,47.02,9.85,37.17
0,64,8,256,64,15,38.19,47.7,9.7,38.0
0,64,8,256,64,20,46.99,54.64,8.39,46.26
0,64,8,256,64,25,49.04,56.5,8.92,47.59
0,64,8,256,64,30,51.17,56.87,8.78,48.09
0,64,8,256,128,10,47.38,55.1,8.9,46.2
0,64,8,256,128,15,50.36,56.46,8.73,47.74
0,64,8,256,128,20,54.02,56.87,8.42,48.45
0,64,8,256,128,25,58.31,56.98,8.65,48.33
0,64,8,256,128,30,62.19,56.31,8.46,47.84
0,64,8,512,32,10,37.36,46.27,9.21,37.06
0,64,8,512,32,15,37.51,46.83,9.49,37.35
0,64,8,512,32,20,37.66,47.35,9.89,37.46
0,64,8,512,32,25,37.82,46.95,9.86,37.09
0,64,8,512,32,30,37.89,47.39,9.72,37.66
0,64,8,512,64,10,37.32,46.78,10.4,36.38
0,64,8,512,64,15,37.87,47.96,10.36,37.6
0,64,8,512,64,20,38.28,48.1,10.54,37.56
0,64,8,512,64,25,38.61,48.3,10.34,37.96
0,64,8,512,64,30,38.89,48.4,10.31,38.09
0,64,8,512,128,10,36.6,46.13,10.14,35.99
0,64,8,512,128,15,37.05,46.73,10.29,36.44
0,64,8,512,128,20,37.36,47.06,10.28,36.79
0,64,8,512,128,25,37.72,47.41,10.29,37.12
0,64,8,512,128,30,37.86,47.9,10.72,37.18
0,64,16,128,32,10,50.02,56.52,8.85,47.67
0,64,16,128,32,15,53.03,57.56,8.87,48.68
0,64,16,128,32,20,56.5,57.27,8.12,49.15
0,64,16,128,32,25,59.64,56.87,8.17,48.69
0,64,16,128,32,30,62.33,56.44,7.99,48.45
0,64,16,128,64,10,38.17,47.27,9.3,37.97
0,64,16,128,64,15,38.61,47.95,9.91,38.04
0,64,16,128,64,20,45.62,53.66,9.09,44.58
0,64,16,128,64,25,45.2,53.13,9.42,43.71
0,64,16,128,64,30,46.57,54.2,9.13,45.07
0,64,16,128,128,10,37.82,47.24,9.63,37.61
0,64,16,128,128,15,38.55,48.37,9.78,38.59
0,64,16,128,128,20,47.45,55.59,8.96,46.63
0,64,16,128,128,25,49.39,56.48,8.73,47.75
0,64,16,128,128,30,51.75,56.85,8.73,48.12
0,64,16,256,32,10,39.36,49.14,10.31,38.82
0,64,16,256,32,15,40.41,49.69,10.52,39.17
0,64,16,256,32,20,43.61,53.22,10.13,43.09
0,64,16,256,32,25,48.01,56.28,9.29,46.99
0,64,16,256,32,30,49.76,56.99,9.46,47.53
0,64,16,256,64,10,48.0,56.21,9.01,47.2
0,64,16,256,64,15,51.69,57.77,9.11,48.65
0,64,16,256,64,20,56.02,58.49,9.01,49.49
0,64,16,256,64,25,60.86,58.28,8.39,49.89
0,64,16,256,64,30,65.29,57.92,8.57,49.35
0,64,16,256,128,10,45.2,54.08,8.5,45.58
0,64,16,256,128,15,49.34,56.52,8.59,47.93
0,64,16,256,128,20,52.73,57.46,9.06,48.41
0,64,16,256,128,25,57.21,57.36,8.4,48.96
0,64,16,256,128,30,62.15,57.73,8.55,49.18
0,64,16,512,32,10,52.55,58.23,9.29,48.94
0,64,16,512,32,15,56.22,59.19,9.28,49.92
0,64,16,512,32,20,59.78,59.17,9.27,49.9
0,64,16,512,32,25,62.8,59.17,8.94,50.23
0,64,16,512,32,30,65.08,58.57,8.98,49.59
0,64,16,512,64,10,39.98,49.35,9.89,39.46
0,64,16,512,64,15,41.57,50.6,10.35,40.25
0,64,16,512,64,20,42.74,51.46,10.46,41.0
0,64,16,512,64,25,43.57,51.98,10.33,41.65
0,64,16,512,64,30,44.25,52.3,10.29,42.0
0,64,16,512,128,10,42.33,52.72,9.94,42.77
0,64,16,512,128,15,49.99,57.66,9.11,48.55
0,64,16,512,128,20,53.94,59.81,9.52,50.29
0,64,16,512,128,25,58.0,60.6,9.64,50.96
0,64,16,512,128,30,62.59,60.0,9.34,50.66
0,64,32,128,32,10,47.89,55.88,8.91,46.97
0,64,32,128,32,15,49.99,56.95,8.68,48.27
0,64,32,128,32,20,51.86,57.65,9.03,48.62
0,64,32,128,32,25,53.8,58.07,8.91,49.16
0,64,32,128,32,30,55.45,57.78,8.58,49.2
0,64,32,128,64,10,49.8,56.62,8.65,47.98
0,64,32,128,64,15,53.12,57.6,8.8,48.8
0,64,32,128,64,20,57.12,57.9,8.73,49.16
0,64,32,128,64,25,61.26,57.43,8.54,48.88
0,64,32,128,64,30,64.51,57.08,8.36,48.73
0,64,32,128,128,10,39.0,47.64,9.69,37.95
0,64,32,128,128,15,40.29,48.9,9.55,39.35
