,first_output_size,second_output_size,final_hidden_size,batch_size,epoch_num,train_accuracy,accuracy_except_0_and_1000,first_number_accuracy,second_number_accuracy
0,64,8,128,32,10,49.16,55.88,8.49,47.39
0,64,8,128,32,15,52.61,56.71,8.52,48.19
0,64,8,128,32,20,56.27,56.17,8.39,47.78
0,64,8,128,32,25,59.5,55.73,8.06,47.67
0,64,8,128,32,30,62.07,55.93,8.11,47.82
0,64,8,128,64,10,39.51,50.42,9.99,40.43
0,64,8,128,64,15,46.28,54.25,8.32,45.93
0,64,8,128,64,20,48.07,54.78,8.13,46.65
0,64,8,128,64,25,49.99,55.57,8.54,47.03
0,64,8,128,64,30,52.6,56.09,8.46,47.63
0,64,8,128,128,10,36.6,45.79,9.8,35.99
0,64,8,128,128,15,36.94,45.98,9.64,36.34
0,64,8,128,128,20,37.17,46.2,9.84,36.37
0,64,8,128,128,25,37.32,46.59,9.82,36.78
0,64,8,128,128,30,37.4,46.43,9.65,36.78
0,64,8,256,32,10,48.51,55.45,8.44,47.0
0,64,8,256,32,15,51.12,56.33,8.86,47.47
0,64,8,256,32,20,53.83,56.04,8.36,47.68
0,64,8,256,32,25,56.24,56.3,8.62,47.68
0,64,8,256,32,30,58.47,55.67,8.48,47.18
0,64,8,256,64,10,47.0,54.81,8.7,46.11
0,64,8,256,64,15,49.87,56.47,8.9,47.57
0,64,8,256,64,20,52.9,56.83,8.72,48.12
0,64,8,256,64,25,56.46,56.72,8.71,48.02
0,64,8,256,64,30,60.27,56.12,8.5,47.62
0,64,8,256,128,10,36.46,45.44,9.67,35.77
0,64,8,256,128,15,36.94,46.21,9.77,36.45
0,64,8,256,128,20,37.21,46.77,10.23,36.54
0,64,8,256,128,25,37.46,46.64,9.84,36.81
0,64,8,256,128,30,37.66,46.68,9.86,36.82
0,64,8,512,32,10,48.95,56.38,8.79,47.59
0,64,8,512,32,15,52.33,57.45,9.11,48.33
0,64,8,512,32,20,55.84,57.76,9.02,48.74
0,64,8,512,32,25,59.46,57.39,8.4,48.99
0,64,8,512,32,30,62.51,57.22,8.58,48.64
0,64,8,512,64,10,36.91,46.41,9.95,36.46
0,64,8,512,64,15,37.53,46.46,9.83,36.64
0,64,8,512,64,20,42.33,51.47,10.06,41.42
0,64,8,512,64,25,44.6,53.48,9.71,43.77
0,64,8,512,64,30,46.64,54.37,9.0,45.37
0,64,8,512,128,10,47.56,55.28,9.01,46.28
0,64,8,512,128,15,50.54,56.59,8.83,47.75
0,64,8,512,128,20,54.28,57.25,8.47,48.78
0,64,8,512,128,25,58.93,57.63,8.75,48.88
0,64,8,512,128,30,63.18,57.53,8.7,48.83
0,64,16,128,32,10,47.97,55.83,8.87,46.96
0,64,16,128,32,15,50.29,56.23,8.47,47.76
0,64,16,128,32,20,52.67,56.19,8.49,47.7
0,64,16,128,32,25,55.22,56.54,8.2,48.34
0,64,16,128,32,30,57.72,56.11,8.33,47.78
0,64,16,128,64,10,45.87,54.32,8.5,45.83
0,64,16,128,64,15,48.39,55.71,8.67,47.04
0,64,16,128,64,20,50.48,56.69,9.02,47.67
0,64,16,128,64,25,52.76,56.99,8.81,48.17
0,64,16,128,64,30,55.41,56.78,8.85,47.93
0,64,16,128,128,10,37.94,47.08,9.69,37.39
0,64,16,128,128,15,42.65,51.98,10.36,41.62
0,64,16,128,128,20,45.29,53.69,9.24,44.45
0,64,16,128,128,25,47.66,54.69,9.18,45.51
0,64,16,128,128,30,49.48,55.01,8.85,46.16
0,64,16,256,32,10,39.71,49.62,10.08,39.54
0,64,16,256,32,15,43.33,52.96,10.36,42.6
0,64,16,256,32,20,46.3,54.72,9.65,45.07
0,64,16,256,32,25,48.48,55.63,9.1,46.53
0,64,16,256,32,30,49.57,57.18,9.6,47.58
0,64,16,256,64,10,48.6,56.3,8.92,47.38
0,64,16,256,64,15,52.1,58.16,9.31,48.85
0,64,16,256,64,20,55.93,59.13,8.9,50.23
0,64,16,256,64,25,60.34,58.57,8.71,49.86
0,64,16,256,64,30,64.68,58.3,8.67,49.64
0,64,16,256,128,10,47.25,55.81,8.78,47.03
0,64,16,256,128,15,50.58,57.61,8.9,48.71
0,64,16,256,128,20,54.85,58.43,8.88,49.55
0,64,16,256,128,25,60.16,58.74,9.02,49.72
0,64,16,256,128,30,65.38,58.31,8.6,49.72
0,64,16,512,32,10,51.94,58.56,9.3,49.27
0,64,16,512,32,15,55.54,59.2,9.31,49.89
0,64,16,512,32,20,58.86,59.24,9.25,49.99
0,64,16,512,32,25,61.65,58.77,8.73,50.05
0,64,16,512,32,30,64.04,58.82,8.88,49.93
0,64,16,512,64,10,49.32,57.57,9.3,48.27
0,64,16,512,64,15,53.22,59.39,9.65,49.74
0,64,16,512,64,20,57.14,60.05,9.17,50.87
0,64,16,512,64,25,61.68,60.26,9.45,50.8
0,64,16,512,64,30,66.01,60.42,9.32,51.1
0,64,16,512,128,10,38.63,48.78,10.71,38.07
0,64,16,512,128,15,40.08,49.62,10.59,39.03
0,64,16,512,128,20,41.3,50.92,10.92,40.0
0,64,16,512,128,25,42.58,51.58,10.72,40.86
0,64,16,512,128,30,43.5,52.15,10.71,41.44
0,64,32,128,32,10,51.37,58.45,9.23,49.22
0,64,32,128,32,15,54.6,58.3,8.8,49.5
0,64,32,128,32,20,57.58,58.01,8.11,49.9
0,64,32,128,32,25,60.28,58.15,8.68,49.47
0,64,32,128,32,30,62.24,57.77,8.61,49.16
0,64,32,128,64,10,40.27,49.07,9.73,39.33
0,64,32,128,64,15,41.8,50.71,9.81,40.9
0,64,32,128,64,20,49.64,57.3,9.16,48.15
0,64,32,128,64,25,52.12,58.48,8.95,49.53
0,64,32,128,64,30,54.47,59.18,8.79,50.39
0,64,32,128,128,10,39.22,48.43,9.86,38.56
0,64,32,128,128,15,40.11,49.43,10.39,39.04
0,64,32,128,128,20,40.98,50.16,10.3,39.87
0,64,32,128,128,25,41.51,50.27,10.58,39.69
0,64,32,128,128,30,42.11,51.19,10.42,40.77
0,64,32,256,32,10,41.63,50.81,10.16,40.65
0,64,32,256,32,15,42.71,51.11,9.71,41.39
0,64,32,256,32,20,43.4,51.14,9.95,41.2
0,64,32,256,32,25,43.73,51.64,9.87,41.77
0,64,32,256,32,30,44.04,52.04,10.22,41.81
0,64,32,256,64,10,51.49,58.54,9.32,49.21
0,64,32,256,64,15,55.16,59.43,9.08,50.35
0,64,32,256,64,20,59.06,60.01,8.94,51.06
0,64,32,256,64,25,63.01,60.03,9.14,50.89
0,64,32,256,64,30,66.39,59.8,8.97,50.83
0,64,32,256,128,10,44.44,55.61,9.28,46.33
0,64,32,256,128,15,51.97,58.64,9.19,49.45
0,64,32,256,128,20,56.47,59.6,9.14,50.46
0,64,32,256,128,25,61.95,59.58,9.06,50.52
0,64,32,256,128,30,67.25,59.12,8.74,50.38
0,64,32,512,32,10,42.62,51.73,10.79,40.94
