Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement,,Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement
410.bwaves-s0.trace.gz,yours,85.30078092,32.05801484,15.50726667,32.05814383,0.777711,25.47813965,,410.bwaves-s0.trace.gz,yours,85.30078092,32.05801484,15.50726667,32.05814383,0.777711,25.47813965
410.bwaves-s0.trace.gz,no,N/A,0,22.82427651,N/A,0.619798,N/A,,433.milc-s0.trace.gz,yours,41.62457726,27.72697377,17.61502994,27.72627198,0.542126,14.73153347
410.bwaves-s0.trace.gz,bo,99.23418645,77.74105437,5.080443333,77.74109663,1.08862,75.64109597,,437.leslie3d-s0.trace.gz,yours,59.05262568,29.66410856,18.89387327,29.55763259,0.629293,31.26980385
410.bwaves-s0.trace.gz,sisb,99.9771563,7.670037202,21.07363986,7.670239464,0.670622,8.200090997,,450.soplex-s0.trace.gz,yours,35.67223158,26.84878458,25.81056983,20.29267784,0.343122,7.909162099
410.bwaves-s0.trace.gz,sisb_bo,99.47190467,57.68572114,9.657926667,57.68580765,0.946407,52.69603968,,459.GemsFDTD-s0.trace.gz,yours,76.6487676,56.23107793,15.18801,56.17948319,0.476417,56.55750095
410.bwaves-s1.trace.gz,no,N/A,0,22.82426992,N/A,0.621654,N/A,,462.libquantum-s0.trace.gz,yours,99.89100746,14.57344566,25.30353325,14.57343605,0.622612,17.02815125
410.bwaves-s1.trace.gz,bo,99.52044198,77.49679033,5.136193316,77.49683634,1.08643,74.76441879,,470.lbm-s0.trace.gz,yours,99.97590636,9.417319102,28.7371199,9.420497857,0.639069,10.63754276
410.bwaves-s1.trace.gz,sisb,99.9798993,8.716951653,20.83468326,8.717164953,0.679276,9.269143285,,471.omnetpp-s0.trace.gz,yours,0.398902742,0.593239216,15.76796667,-54.67454646,0.517481,-5.174110391
410.bwaves-s1.trace.gz,sisb_bo,99.66966506,57.5969144,9.678193301,57.59700729,0.944145,51.87628488,,473.astar-s0.trace.gz,yours,43.04547214,30.28435159,1.126493326,22.838342,1.05859,5.035521511
410.bwaves-s2.trace.gz,no,N/A,0,0.46315333,N/A,1.43254,N/A,,482.sphinx3-s0.trace.gz,yours,65.51542925,43.26462273,7.144269976,42.84990909,0.859326,29.90115234
