Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement
482.sphinx3-s1.trace.gz,no,N/A,0.0,11.40359659064269,N/A,0.735498,N/A
482.sphinx3-s1.trace.gz,yours,99.73789947623146,53.93788511157729,5.251503315828322,53.954659345945856,1.00853,37.122058795537164
482.sphinx3-s1.trace.gz,bo,83.26394069392208,72.2207590302757,3.2943133113712446,71.11536068315817,1.2006,63.23633782824697
482.sphinx3-s1.trace.gz,sisb,97.51842751842752,77.61632707456347,2.5753833161641113,77.41896074874303,1.29626,76.24249148196188
482.sphinx3-s1.trace.gz,sisb_bo,88.81253990401365,75.58679984109868,2.867899980880667,74.85416573506343,1.26835,72.44778367854164
437.leslie3d-s2.trace.gz,no,N/A,0.0,25.390829830727803,N/A,0.466747,N/A
437.leslie3d-s2.trace.gz,yours,99.84144621842734,24.20339121887287,19.24675987168827,24.356162578176814,0.563955,20.826700546548764
437.leslie3d-s2.trace.gz,bo,93.04006878201096,56.87001791367919,10.964466593570224,56.907327053990755,0.861314,84.53551924275892
437.leslie3d-s2.trace.gz,sisb,94.4024566165332,37.69392355370817,15.828983333333333,37.78874772588137,0.701326,50.258276968036206
437.leslie3d-s2.trace.gz,sisb_bo,93.70658409471817,49.25214464163895,12.89672324735518,49.313149688524184,0.807064,72.91252005904697
459.GemsFDTD-s0.trace.gz,no,N/A,0.0,34.659423333333336,N/A,0.304308,N/A
459.GemsFDTD-s0.trace.gz,yours,99.22630753901198,30.60553112471716,24.054366666666667,30.598229869254073,0.366565,20.458548575785045
459.GemsFDTD-s0.trace.gz,bo,88.74660943628552,77.2363884308729,7.905596666666667,77.19073587721185,0.605786,99.0700211627693
459.GemsFDTD-s0.trace.gz,sisb,97.67797369505477,26.148357455910453,25.59597,26.150388790941538,0.320804,5.420823639207629
459.GemsFDTD-s0.trace.gz,sisb_bo,92.34558136531143,65.49437657187895,11.978383333333333,65.43991292067727,0.503731,65.53327549719363
462.libquantum-s1.trace.gz,no,N/A,0.0,28.52427990491907,N/A,0.611276,N/A
462.libquantum-s1.trace.gz,yours,99.99957799936948,47.075836211583024,15.096236616345879,47.075836211583024,0.7777,27.22567220044626
462.libquantum-s1.trace.gz,bo,99.99492523973856,86.5793515793095,3.8281433205728557,86.5793515793095,0.999918,63.57880891773927
462.libquantum-s1.trace.gz,sisb,100.0,23.186655952986953,21.91045326029849,23.18665595298696,0.771418,26.197985852544512
462.libquantum-s1.trace.gz,sisb_bo,99.99559585737536,53.06565728097841,13.387683288707724,53.06565728097841,0.910497,48.95022870192842
450.soplex-s2.trace.gz,no,N/A,0.0,26.38822982407847,N/A,0.352731,N/A
450.soplex-s2.trace.gz,yours,97.83208203291004,32.398403193210044,17.868963214206914,32.2951788238456,0.438766,24.391108238289224
450.soplex-s2.trace.gz,bo,56.140658097737386,40.33807511217209,16.73821655507856,36.57953485693385,0.41641,18.053133974615214
450.soplex-s2.trace.gz,sisb,87.77634804379973,44.314324512080674,14.743736568375091,44.13654357760855,0.493128,39.80285259872254
450.soplex-s2.trace.gz,sisb_bo,67.36791818983652,51.15563127604336,13.550113242999245,48.659136904791986,0.499237,41.53476728725288
482.sphinx3-s2.trace.gz,no,N/A,0.0,13.34678,N/A,0.591671,N/A
482.sphinx3-s2.trace.gz,yours,99.62989014747073,51.228995941563305,6.50851,51.31545680445577,0.813483,37.48907754478418
482.sphinx3-s2.trace.gz,bo,71.42162390157092,69.24815616465364,4.12827,69.1199769013385,0.975865,64.93372161217975
482.sphinx3-s2.trace.gz,sisb,95.2984559657452,76.55464729185475,3.12839,76.59921578248961,1.08078,82.66570442019301
482.sphinx3-s2.trace.gz,sisb_bo,80.48770054839876,75.37495897787927,3.2990766666666667,75.3224562175144,1.05923,79.02347757453045
410.bwaves-s1.trace.gz,no,N/A,0.0,22.8242699239191,N/A,0.621654,N/A
410.bwaves-s1.trace.gz,yours,100.0,14.151091506248978,19.594386601352046,14.151267033186102,0.681,9.546467970929168
410.bwaves-s1.trace.gz,bo,99.52044198107536,77.49679033181201,5.136193316212689,77.49683634194233,1.08643,74.76441879244724
410.bwaves-s1.trace.gz,sisb,99.9798992954703,8.716951653350185,20.83468326388439,8.71716495345973,0.679276,9.269143285493207
410.bwaves-s1.trace.gz,sisb_bo,99.66966506296734,57.596914395205104,9.678193301072689,57.59700728535868,0.944145,51.87628487872674
410.bwaves-s2.trace.gz,no,N/A,0.0,0.4631533302456445,N/A,1.43254,N/A
